Postcode,In Use?,Latitude,Longitude,Easting,Northing,Grid Ref,Ward,Parish,Introduced,Terminated,Altitude,Country,Last Updated,Quality,LSOA Code
E1 7JE,No,51.516679,-0.078829,533400,181500,TQ334815,"Bishopsgate","City of London, unparished area",1994-05-01,1995-07-01,27,England,2020-02-19,"Postcode terminated prior to Gridlink initiative - last known ONS postcode grid reference",E01032739
E1 7JF,Yes,51.517946,-0.078805,533398,181641,TQ333816,"Bishopsgate","City of London, unparished area",1980-01-01,,30,England,2020-02-19,"Within the building of the matched address closest to the postcode mean",E01032739
E1 7JG,No,51.517578,-0.078791,533400,181600,TQ334816,"Bishopsgate","City of London, unparished area",1980-01-01,1990-12-01,29,England,2020-02-19,"Postcode terminated prior to Gridlink initiative - last known ONS postcode grid reference",E01032739
E1 7JH,Yes,51.518041,-0.078527,533417,181652,TQ334816,"Bishopsgate","City of London, unparished area",1995-07-01,,29,England,2020-02-19,"Within the building of the matched address closest to the postcode mean",E01032739
E1 7JJ,Yes,51.517975,-0.078875,533393,181644,TQ333816,"Bishopsgate","City of London, unparished area",1999-06-01,,31,England,2020-02-19,"Within the building of the matched address closest to the postcode mean",E01032739
E1 7LP,Yes,51.518578,-0.078247,533435,181712,TQ334817,"Bishopsgate","City of London, unparished area",1980-01-01,,29,England,2020-02-19,"Within the building of the matched address closest to the postcode mean",E01032739
E1 7LS,Yes,51.518343,-0.078312,533431,181686,TQ334816,"Bishopsgate","City of London, unparished area",1980-01-01,,27,England,2020-02-19,"Within the building of the matched address closest to the postcode mean",E01032739
E1 7LW,No,51.517578,-0.078791,533400,181600,TQ334816,"Bishopsgate","City of London, unparished area",1980-01-01,1991-12-01,29,England,2020-02-19,"Postcode terminated prior to Gridlink initiative - last known ONS postcode grid reference",E01032739
E1 7LX,No,51.517578,-0.078791,533400,181600,TQ334816,"Bishopsgate","City of London, unparished area",1984-02-01,1991-12-01,29,England,2020-02-19,"Postcode terminated prior to Gridlink initiative - last known ONS postcode grid reference",E01032739
E1 7LY,No,51.517578,-0.078791,533400,181600,TQ334816,"Bishopsgate","City of London, unparished area",1980-01-01,1981-12-01,29,England,2020-02-19,"Postcode terminated prior to Gridlink initiative - last known ONS postcode grid reference",E01032739
E1 7PZ,No,51.515733,-0.075986,533600,181400,TQ336813,"Portsoken","City of London, unparished area",1980-01-01,1995-07-01,27,England,2020-02-19,"Postcode terminated prior to Gridlink initiative - last known ONS postcode grid reference",E01000005
E1 7QB,No,51.515733,-0.075986,533600,181400,TQ336813,"Portsoken","City of London, unparished area",1980-01-01,1981-12-01,27,England,2020-02-19,"Postcode terminated prior to Gridlink initiative - last known ONS postcode grid reference",E01000005
E1 7QG,No,51.514811,-0.074584,533700,181300,TQ336813,"Portsoken","City of London, unparished area",1980-01-01,1998-06-01,32,England,2020-02-19,"Postcode terminated prior to Gridlink initiative - last known ONS postcode grid reference",E01000005
E1 7TJ,No,51.515733,-0.075986,533600,181400,TQ336813,"Portsoken","City of London, unparished area",1980-01-01,1986-12-01,27,England,2020-02-19,"Postcode terminated prior to Gridlink initiative - last known ONS postcode grid reference",E01000005
E1 7TL,No,51.515733,-0.075986,533600,181400,TQ336813,"Portsoken","City of London, unparished area",1980-01-01,1986-12-01,27,England,2020-02-19,"Postcode terminated prior to Gridlink initiative - last known ONS postcode grid reference",E01000005
E1 8AB,Yes,51.51298,-0.073724,533765,181098,TQ337810,"Portsoken","City of London, unparished area",1980-01-01,,25,England,2020-02-19,"Within the building of the matched address closest to the postcode mean",E01000005
E1 8AE,Yes,51.51298,-0.073724,533765,181098,TQ337810,"Portsoken","City of London, unparished area",1983-01-01,,25,England,2020-02-19,"Within the building of the matched address closest to the postcode mean",E01000005
E1 8AH,Yes,51.513919,-0.074477,533710,181201,TQ337812,"Portsoken","City of London, unparished area",1980-01-01,,29,England,2020-02-19,"Within the building of the matched address closest to the postcode mean",E01000005
E1 8AL,Yes,51.511974,-0.073262,533800,180987,TQ338809,"Portsoken","City of London, unparished area",1981-06-01,,21,England,2020-02-19,"Within the building of the matched address closest to the postcode mean",E01000005
E1 8AQ,Yes,51.51298,-0.073724,533765,181098,TQ337810,"Portsoken","City of London, unparished area",1983-01-01,,25,England,2020-02-19,"Within the building of the matched address closest to the postcode mean",E01000005
E1 8AR,No,51.511193,-0.073295,533800,180900,TQ338809,"Tower","City of London, unparished area",1990-02-01,1997-07-01,23,England,2020-02-19,"Postcode terminated prior to Gridlink initiative - last known ONS postcode grid reference",E01000005
E1 8AT,Yes,51.511017,-0.073562,533782,180880,TQ337808,"Tower","City of London, unparished area",1991-09-01,,25,England,2020-02-19,"Within the building of the matched address closest to the postcode mean",E01000005
E1 8AW,No,51.511646,-0.073521,533783,180950,TQ337809,"Tower","City of London, unparished area",1986-07-01,2009-04-01,21,England,2020-02-19,"Within the building of the matched address closest to the postcode mean",E01000005
E1 8AX,Yes,51.514273,-0.074061,533738,181241,TQ337812,"Portsoken","City of London, unparished area",1980-01-01,,22,England,2020-02-19,"Within the building of the matched address closest to the postcode mean",E01000005
E1 8BJ,No,51.511207,-0.074159,533740,180900,TQ337809,"Tower","City of London, unparished area",1990-07-01,1995-07-01,25,England,2020-02-19,"Postcode terminated prior to Gridlink initiative - last known ONS postcode grid reference",E01000005
E1 8BN,No,51.511646,-0.073521,533783,180950,TQ337809,"Tower","City of London, unparished area",2001-12-01,2012-09-01,21,England,2020-02-19,"Within the building of the matched address closest to the postcode mean",E01000005
E1 8BQ,Yes,51.512309,-0.073925,533753,181023,TQ337810,"Portsoken","City of London, unparished area",1982-03-01,,23,England,2020-02-19,"Within the building of the matched address closest to the postcode mean",E01000005
E1 8BT,Yes,51.511646,-0.073521,533783,180950,TQ337809,"Tower","City of London, unparished area",1983-01-01,,21,England,2020-02-19,"Within the building of the matched address closest to the postcode mean",E01000005
E1 8BX,No,51.512091,-0.073257,533800,181000,TQ338809,"Portsoken","City of London, unparished area",1980-01-01,1995-07-01,21,England,2020-02-19,"Postcode terminated prior to Gridlink initiative - last known ONS postcode grid reference",E01000005
E1 8BZ,Yes,51.511578,-0.074893,533688,180940,TQ336809,"Tower","City of London, unparished area",1999-12-01,,26,England,2020-02-19,"Within the building of the matched address closest to the postcode mean",E01000005
E1 8DF,No,51.511646,-0.073521,533783,180950,TQ337809,"Tower","City of London, unparished area",1983-03-01,2008-06-01,21,England,2020-02-19,"Within the building of the matched address closest to the postcode mean",E01000005
E1 8DP,No,51.511193,-0.073295,533800,180900,TQ338809,"Tower","City of London, unparished area",1980-01-01,1998-06-01,23,England,2020-02-19,"Postcode terminated prior to Gridlink initiative - last known ONS postcode grid reference",E01000005
E1 8DU,No,51.512091,-0.073257,533800,181000,TQ338809,"Portsoken","City of London, unparished area",1980-01-01,1996-06-01,21,England,2020-02-19,"Postcode terminated prior to Gridlink initiative - last known ONS postcode grid reference",E01000005
E1 8HZ,No,51.511646,-0.073521,533783,180950,TQ337809,"Tower","City of London, unparished area",2000-06-01,2019-09-01,21,England,2020-02-19,"Within the building of the matched address closest to the postcode mean",E01000005
E1 8LN,No,51.511646,-0.073521,533783,180950,TQ337809,"Tower","City of London, unparished area",2001-06-01,2016-01-01,21,England,2020-02-19,"Within the building of the matched address closest to the postcode mean",E01000005
E1 8LP,No,51.510393,-0.07441,533725,180809,TQ337808,"Tower","City of London, unparished area",2013-08-01,2016-12-01,25,England,2020-02-19,"Within the building of the matched address closest to the postcode mean",E01000005
E1 8LW,No,51.511646,-0.073521,533783,180950,TQ337809,"Tower","City of London, unparished area",2004-01-01,2007-08-01,21,England,2020-02-19,"Within the building of the matched address closest to the postcode mean",E01000005
E1 8PH,Yes,51.511646,-0.073521,533783,180950,TQ337809,"Tower","City of London, unparished area",2000-12-01,,21,England,2020-02-19,"Within the building of the matched address closest to the postcode mean",E01000005
E1 8PP,No,51.511646,-0.073521,533783,180950,TQ337809,"Tower","City of London, unparished area",2000-06-01,2019-09-01,21,England,2020-02-19,"Within the building of the matched address closest to the postcode mean",E01000005
E1 8RB,Yes,51.512006,-0.073549,533780,180990,TQ337809,"Portsoken","City of London, unparished area",1984-02-01,,21,England,2020-02-19,"Within the building of the matched address closest to the postcode mean",E01000005
E1 8RD,No,51.511216,-0.074735,533700,180900,TQ337808,"Tower","City of London, unparished area",1986-07-01,1991-12-01,26,England,2020-02-19,"Postcode terminated prior to Gridlink initiative - last known ONS postcode grid reference",E01000005
E1 8RU,No,51.511646,-0.073521,533783,180950,TQ337809,"Tower","City of London, unparished area",1990-02-01,2001-07-01,21,England,2020-02-19,"Within the building of the matched address closest to the postcode mean",E01000005
EC1A 1AE,No,51.51521,-0.099069,532000,181300,TQ319812,"Bread Street","City of London, unparished area",1988-03-01,1990-12-01,30,England,2020-02-19,"Postcode terminated prior to Gridlink initiative - last known ONS postcode grid reference",E01032739
EC1A 1AL,No,51.517883,-0.097516,532100,181600,TQ321816,"Farringdon Within","City of London, unparished area",1984-10-01,1995-07-01,36,England,2020-02-19,"Postcode terminated prior to Gridlink initiative - last known ONS postcode grid reference",E01032740
EC1A 1HQ,Yes,51.516359,-0.098906,532008,181428,TQ320814,"Farringdon Within","City of London, unparished area",2002-06-01,,35,England,2020-02-19,"Within the building of the matched address closest to the postcode mean",E01032739
EC1A 1LP,No,51.516359,-0.098906,532008,181428,TQ320814,"Farringdon Within","City of London, unparished area",1984-10-01,2001-07-01,35,England,2020-02-19,"Within the building of the matched address closest to the postcode mean",E01032739
EC1A 1ZZ,No,51.516109,-0.099031,532000,181400,TQ320814,"Farringdon Within","City of London, unparished area",1992-08-01,1994-05-01,34,England,2020-02-19,"Postcode terminated prior to Gridlink initiative - last known ONS postcode grid reference",E01032739
EC1A 2AA,Yes,51.516273,-0.102498,531759,181412,TQ317814,"Farringdon Within","City of London, unparished area",1980-01-01,,31,England,2020-02-19,"Within the building of the matched address closest to the postcode mean",E01032740
EC1A 2AD,No,51.516202,-0.104793,531600,181400,TQ315813,"Farringdon Within","City of London, unparished area",1980-01-01,1981-12-01,25,England,2020-02-19,"Postcode terminated prior to Gridlink initiative - last known ONS postcode grid reference",E01032740
EC1A 2AE,Yes,51.51633,-0.102683,531746,181418,TQ317814,"Farringdon Within","City of London, unparished area",1980-01-01,,30,England,2020-02-19,"Within the building of the matched address closest to the postcode mean",E01032740
EC1A 2AH,No,51.516179,-0.103352,531700,181400,TQ317814,"Farringdon Within","City of London, unparished area",1980-01-01,1983-12-01,29,England,2020-02-19,"Postcode terminated prior to Gridlink initiative - last known ONS postcode grid reference",E01032740
EC1A 2AJ,No,51.516179,-0.103352,531700,181400,TQ317814,"Farringdon Within","City of London, unparished area",1980-01-01,1981-12-01,29,England,2020-02-19,"Postcode terminated prior to Gridlink initiative - last known ONS postcode grid reference",E01032740
EC1A 2AL,Yes,51.517473,-0.103327,531698,181544,TQ316815,"Farringdon Without","City of London, unparished area",1980-01-01,,23,England,2020-02-19,"Within the building of the matched address closest to the postcode mean",E01032740
EC1A 2AP,No,51.517147,-0.107636,531400,181500,TQ314814,"Castle Baynard","City of London, unparished area",1980-01-01,1986-12-01,31,England,2020-02-19,"Postcode terminated prior to Gridlink initiative - last known ONS postcode grid reference",E01032740
EC1A 2AQ,No,51.517187,-0.105674,531536,181508,TQ315815,"Farringdon Within","City of London, unparished area",1990-02-01,2015-02-01,24,England,2020-02-19,"Within the building of the matched address closest to the postcode mean",E01032740
EC1A 2AR,No,51.516179,-0.103352,531700,181400,TQ317814,"Farringdon Within","City of London, unparished area",1980-01-01,1983-12-01,29,England,2020-02-19,"Postcode terminated prior to Gridlink initiative - last known ONS postcode grid reference",E01032740
EC1A 2AS,No,51.516179,-0.103352,531700,181400,TQ317814,"Farringdon Within","City of London, unparished area",1980-01-01,1983-12-01,29,England,2020-02-19,"Postcode terminated prior to Gridlink initiative - last known ONS postcode grid reference",E01032740
EC1A 2AT,Yes,51.516738,-0.104006,531653,181461,TQ316814,"Farringdon Within","City of London, unparished area",1980-01-01,,25,England,2020-02-19,"Within the building of the matched address closest to the postcode mean",E01032740
EC1A 2AY,Yes,51.517187,-0.102878,531730,181513,TQ317815,"Farringdon Without","City of London, unparished area",2002-06-01,,25,England,2020-02-19,"Within the building of the matched address closest to the postcode mean",E01032740
EC1A 2BB,No,51.516202,-0.104793,531600,181400,TQ315813,"Farringdon Within","City of London, unparished area",1992-08-01,1994-05-01,25,England,2020-02-19,"Postcode terminated prior to Gridlink initiative - last known ONS postcode grid reference",E01032740
EC1A 2BE,No,51.516202,-0.104793,531600,181400,TQ315813,"Farringdon Within","City of London, unparished area",1980-01-01,1984-12-01,25,England,2020-02-19,"Postcode terminated prior to Gridlink initiative - last known ONS postcode grid reference",E01032740
EC1A 2BJ,No,51.516179,-0.103352,531700,181400,TQ317814,"Farringdon Within","City of London, unparished area",1980-01-01,1981-12-01,29,England,2020-02-19,"Postcode terminated prior to Gridlink initiative - last known ONS postcode grid reference",E01032740
EC1A 2BL,No,51.516179,-0.103352,531700,181400,TQ317814,"Farringdon Within","City of London, unparished area",1980-01-01,1981-12-01,29,England,2020-02-19,"Postcode terminated prior to Gridlink initiative - last known ONS postcode grid reference",E01032740
EC1A 2BN,Yes,51.516947,-0.104733,531602,181483,TQ316814,"Farringdon Within","City of London, unparished area",1980-01-01,,22,England,2020-02-19,"Within the building of the matched address closest to the postcode mean",E01032740
EC1A 2BP,Yes,51.517137,-0.105345,531559,181503,TQ315815,"Farringdon Within","City of London, unparished area",1980-01-01,,23,England,2020-02-19,"Within the building of the matched address closest to the postcode mean",E01032740
EC1A 2BQ,No,51.517147,-0.107636,531400,181500,TQ314814,"Castle Baynard","City of London, unparished area",1980-01-01,1983-12-01,31,England,2020-02-19,"Postcode terminated prior to Gridlink initiative - last known ONS postcode grid reference",E01032740
EC1A 2BS,No,51.516996,-0.102727,531741,181492,TQ317814,"Farringdon Without","City of London, unparished area",1987-04-01,2000-09-01,26,England,2020-02-19,"Within the building of the matched address closest to the postcode mean",E01032740
EC1A 2DA,No,51.516727,-0.107783,531391,181453,TQ313814,"Castle Baynard","City of London, unparished area",1993-08-01,2001-01-01,31,England,2020-02-19,"Within the building of the matched address closest to the postcode mean",E01032740
EC1A 2DD,No,51.517124,-0.106196,531500,181500,TQ314814,"Farringdon Within","City of London, unparished area",1980-01-01,1983-12-01,27,England,2020-02-19,"Postcode terminated prior to Gridlink initiative - last known ONS postcode grid reference",E01032740
EC1A 2DE,Yes,51.517239,-0.106076,531508,181513,TQ315815,"Farringdon Within","City of London, unparished area",1980-01-01,,26,England,2020-02-19,"Within the building of the matched address closest to the postcode mean",E01032740
EC1A 2DH,Yes,51.516842,-0.102676,531745,181475,TQ317814,"Farringdon Without","City of London, unparished area",2004-10-01,,27,England,2020-02-19,"Within the building of the matched address closest to the postcode mean",E01032740
EC1A 2DJ,Yes,51.516996,-0.102727,531741,181492,TQ317814,"Farringdon Without","City of London, unparished area",1998-12-01,,26,England,2020-02-19,"Within the building of the matched address closest to the postcode mean",E01032740
EC1A 2DL,No,51.516179,-0.103352,531700,181400,TQ317814,"Farringdon Within","City of London, unparished area",1980-01-01,1986-12-01,29,England,2020-02-19,"Postcode terminated prior to Gridlink initiative - last known ONS postcode grid reference",E01032740
EC1A 2DP,Yes,51.517051,-0.102812,531735,181498,TQ317814,"Farringdon Without","City of London, unparished area",1980-01-01,,26,England,2020-02-19,"Within the building of the matched address closest to the postcode mean",E01032740
EC1A 2DQ,Yes,51.516671,-0.102542,531755,181456,TQ317814,"Farringdon Without","City of London, unparished area",2009-08-01,,28,England,2020-02-19,"Within the building of the matched address closest to the postcode mean",E01032740
EC1A 2DR,No,51.516179,-0.103352,531700,181400,TQ317814,"Farringdon Within","City of London, unparished area",1984-10-01,1986-12-01,29,England,2020-02-19,"Postcode terminated prior to Gridlink initiative - last known ONS postcode grid reference",E01032740
EC1A 2DT,No,51.516202,-0.104793,531600,181400,TQ315813,"Farringdon Within","City of London, unparished area",1984-10-01,1991-12-01,25,England,2020-02-19,"Postcode terminated prior to Gridlink initiative - last known ONS postcode grid reference",E01032740
EC1A 2DY,No,51.516926,-0.104546,531615,181481,TQ316814,"Farringdon Within","City of London, unparished area",2015-03-01,2016-02-01,23,England,2020-02-19,"Within the building of the matched address closest to the postcode mean",E01032740
EC1A 2EA,No,51.517473,-0.103327,531698,181544,TQ316815,"Farringdon Without","City of London, unparished area",1980-01-01,2000-10-01,23,England,2020-02-19,"Within the building of the matched address closest to the postcode mean",E01032740
EC1A 2EB,No,51.517101,-0.104755,531600,181500,TQ316815,"Farringdon Within","City of London, unparished area",1980-01-01,1990-12-01,22,England,2020-02-19,"Postcode terminated prior to Gridlink initiative - last known ONS postcode grid reference",E01032740
EC1A 2ED,No,51.517101,-0.104755,531600,181500,TQ316815,"Farringdon Within","City of London, unparished area",1980-01-01,1990-12-01,22,England,2020-02-19,"Postcode terminated prior to Gridlink initiative - last known ONS postcode grid reference",E01032740
EC1A 2EE,No,51.517629,-0.104056,531647,181560,TQ316815,"Farringdon Without","City of London, unparished area",1980-01-01,2010-03-01,21,England,2020-02-19,"Within the building of the matched address closest to the postcode mean",E01032740
EC1A 2EJ,Yes,51.516921,-0.101981,531793,181485,TQ317814,"Farringdon Without","City of London, unparished area",1980-01-01,,28,England,2020-02-19,"Within the building of the matched address closest to the postcode mean",E01032740
EC1A 2EL,No,51.516179,-0.103352,531700,181400,TQ317814,"Farringdon Within","City of London, unparished area",1980-01-01,1981-12-01,29,England,2020-02-19,"Postcode terminated prior to Gridlink initiative - last known ONS postcode grid reference",E01032740
EC1A 2EP,No,51.516179,-0.103352,531700,181400,TQ317814,"Farringdon Within","City of London, unparished area",1980-01-01,1981-12-01,29,England,2020-02-19,"Postcode terminated prior to Gridlink initiative - last known ONS postcode grid reference",E01032740
EC1A 2ER,No,51.517101,-0.104755,531600,181500,TQ316815,"Farringdon Within","City of London, unparished area",1980-01-01,1981-12-01,22,England,2020-02-19,"Postcode terminated prior to Gridlink initiative - last known ONS postcode grid reference",E01032740
EC1A 2ES,No,51.517147,-0.107636,531400,181500,TQ314814,"Castle Baynard","City of London, unparished area",1980-01-01,1995-01-01,31,England,2020-02-19,"Postcode terminated prior to Gridlink initiative - last known ONS postcode grid reference",E01032740
EC1A 2ET,No,51.517147,-0.107636,531400,181500,TQ314814,"Castle Baynard","City of London, unparished area",1980-01-01,1994-05-01,31,England,2020-02-19,"Postcode terminated prior to Gridlink initiative - last known ONS postcode grid reference",E01032740
EC1A 2EU,No,51.516202,-0.104793,531600,181400,TQ315813,"Farringdon Within","City of London, unparished area",1980-01-01,1991-12-01,25,England,2020-02-19,"Postcode terminated prior to Gridlink initiative - last known ONS postcode grid reference",E01032740
EC1A 2EX,No,51.516179,-0.103352,531700,181400,TQ317814,"Farringdon Within","City of London, unparished area",1983-07-01,1992-12-01,29,England,2020-02-19,"Postcode terminated prior to Gridlink initiative - last known ONS postcode grid reference",E01032740
EC1A 2EY,No,51.516179,-0.103352,531700,181400,TQ317814,"Farringdon Within","City of London, unparished area",1980-01-01,1983-12-01,29,England,2020-02-19,"Postcode terminated prior to Gridlink initiative - last known ONS postcode grid reference",E01032740
EC1A 2FD,Yes,51.517128,-0.104206,531638,181504,TQ316815,"Farringdon Within","City of London, unparished area",1980-01-01,,23,England,2020-02-19,"Within the building of the matched address closest to the postcode mean",E01032740
EC1A 2FE,No,51.517147,-0.107636,531400,181500,TQ314814,"Castle Baynard","City of London, unparished area",1980-01-01,1985-12-01,31,England,2020-02-19,"Postcode terminated prior to Gridlink initiative - last known ONS postcode grid reference",E01032740
